<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^BVSP,D,20000103,000000,17098.00,17408.00,16719.00,16930.00,000,0
^BVSP,D,20000104,000000,16908.00,16908.00,15851.00,15851.00,000,0
^BVSP,D,20000105,000000,15871.00,16302.00,15350.00,16245.00,000,0
^BVSP,D,20000106,000000,16237.00,16499.00,15977.00,16107.00,000,0
^BVSP,D,20000107,000000,16125.00,16449.00,16125.00,16309.00,000,0
^BVSP,D,20000110,000000,16325.00,17057.00,16325.00,17022.00,000,0
^BVSP,D,20000111,000000,17045.00,17197.00,16573.00,16573.00,000,0
^BVSP,D,20000112,000000,16574.00,16724.00,16331.00,16617.00,000,0
^BVSP,D,20000113,000000,16663.00,17715.00,16663.00,17298.00,000,0
^BVSP,D,20000114,000000,17306.00,17800.00,17306.00,17658.00,000,0
^BVSP,D,20000117,000000,17678.00,18099.00,17678.00,18053.00,000,0
^BVSP,D,20000118,000000,18062.00,18062.00,17625.00,17903.00,000,0
^BVSP,D,20000119,000000,17905.00,18075.00,17470.00,17470.00,000,0
^BVSP,D,20000120,000000,17487.00,17622.00,17029.00,17177.00,000,0
^BVSP,D,20000121,000000,17188.00,17372.00,16901.00,17034.00,000,0
^BVSP,D,20000124,000000,17049.00,17263.00,16972.00,16972.00,000,0
^BVSP,D,20000126,000000,16972.00,17105.00,16727.00,17105.00,000,0
^BVSP,D,20000127,000000,17114.00,17422.00,17081.00,17081.00,000,0
^BVSP,D,20000128,000000,17150.00,17252.00,16547.00,16734.00,000,0
^BVSP,D,20000131,000000,16744.00,16749.00,16167.00,16388.00,000,0
^BVSP,D,20000201,000000,16389.00,16675.00,16389.00,16522.00,000,0
^BVSP,D,20000202,000000,16546.00,16875.00,16546.00,16868.00,000,0
^BVSP,D,20000203,000000,16892.00,17457.00,16892.00,17457.00,000,0
^BVSP,D,20000204,000000,17471.00,17962.00,17471.00,17932.00,000,0
^BVSP,D,20000207,000000,17937.00,18126.00,17746.00,18126.00,000,0
^BVSP,D,20000208,000000,18249.00,18729.00,18249.00,18686.00,000,0
^BVSP,D,20000209,000000,18759.00,18886.00,18224.00,18361.00,000,0
^BVSP,D,20000210,000000,18367.00,18672.00,18155.00,18604.00,000,0
^BVSP,D,20000211,000000,18635.00,18775.00,18027.00,18083.00,000,0
^BVSP,D,20000214,000000,18083.00,18264.00,17746.00,17819.00,000,0
^BVSP,D,20000215,000000,17818.00,17932.00,17451.00,17921.00,000,0
^BVSP,D,20000216,000000,17921.00,18247.00,17743.00,18112.00,000,0
^BVSP,D,20000217,000000,18116.00,18297.00,17979.00,17979.00,000,0
^BVSP,D,20000218,000000,17979.00,18008.00,17489.00,17625.00,000,0
^BVSP,D,20000221,000000,17626.00,17887.00,17364.00,17700.00,000,0
^BVSP,D,20000222,000000,17698.00,17913.00,17466.00,17489.00,000,0
^BVSP,D,20000223,000000,17489.00,17855.00,17479.00,17833.00,000,0
^BVSP,D,20000224,000000,17846.00,18119.00,17706.00,17776.00,000,0
^BVSP,D,20000225,000000,17784.00,17988.00,17758.00,17787.00,000,0
^BVSP,D,20000228,000000,17787.00,17787.00,17383.00,17543.00,000,0
^BVSP,D,20000229,000000,17545.00,17818.00,17545.00,17660.00,000,0
^BVSP,D,20000301,000000,17668.00,17953.00,17655.00,17953.00,000,0
^BVSP,D,20000302,000000,17966.00,18154.00,17809.00,18016.00,000,0
^BVSP,D,20000303,000000,18016.00,18632.00,18016.00,18632.00,000,0
^BVSP,D,20000308,000000,18617.00,18617.00,18184.00,18283.00,000,0
^BVSP,D,20000309,000000,18285.00,18650.00,18285.00,18650.00,000,0
^BVSP,D,20000310,000000,18650.00,18720.00,18233.00,18280.00,000,0
^BVSP,D,20000313,000000,18279.00,18279.00,17506.00,17595.00,000,0
^BVSP,D,20000314,000000,17595.00,17941.00,17222.00,17222.00,000,0
^BVSP,D,20000315,000000,17229.00,17469.00,16922.00,17382.00,000,0
^BVSP,D,20000316,000000,17397.00,17661.00,17397.00,17642.00,000,0
^BVSP,D,20000317,000000,17654.00,17733.00,17470.00,17511.00,000,0
^BVSP,D,20000320,000000,17511.00,17733.00,17435.00,17526.00,000,0
^BVSP,D,20000321,000000,17528.00,18343.00,17510.00,18343.00,000,0
^BVSP,D,20000322,000000,18346.00,18860.00,18314.00,18314.00,000,0
^BVSP,D,20000323,000000,18314.00,18644.00,18183.00,18331.00,000,0
^BVSP,D,20000324,000000,18332.00,18692.00,18332.00,18675.00,000,0
^BVSP,D,20000327,000000,18675.00,19047.00,18533.00,18951.00,000,0
^BVSP,D,20000328,000000,18952.00,18960.00,18335.00,18338.00,000,0
^BVSP,D,20000329,000000,18339.00,18575.00,17973.00,18053.00,000,0
^BVSP,D,20000330,000000,18053.00,18053.00,17455.00,17647.00,000,0
^BVSP,D,20000331,000000,17660.00,17950.00,17560.00,17820.00,000,0
^BVSP,D,20000403,000000,17826.00,17826.00,17173.00,17245.00,000,0
^BVSP,D,20000404,000000,17253.00,17450.00,16095.00,16758.00,000,0
^BVSP,D,20000405,000000,16762.00,17043.00,16230.00,16714.00,000,0
^BVSP,D,20000406,000000,16719.00,17152.00,16719.00,17146.00,000,0
^BVSP,D,20000407,000000,17150.00,17514.00,17150.00,17514.00,000,0
^BVSP,D,20000410,000000,17519.00,17572.00,16782.00,16783.00,000,0
^BVSP,D,20000411,000000,16787.00,16867.00,16309.00,16539.00,000,0
^BVSP,D,20000412,000000,16542.00,16785.00,16311.00,16323.00,000,0
^BVSP,D,20000413,000000,16325.00,16605.00,15501.00,15501.00,000,0
^BVSP,D,20000414,000000,15501.00,15501.00,14596.00,14794.00,000,0
^BVSP,D,20000417,000000,14761.00,14821.00,14029.00,14816.00,000,0
^BVSP,D,20000418,000000,14817.00,15469.00,14767.00,15408.00,000,0
^BVSP,D,20000419,000000,15438.00,15536.00,14850.00,14926.00,000,0
^BVSP,D,20000420,000000,14938.00,15204.00,14938.00,15203.00,000,0
^BVSP,D,20000424,000000,15204.00,15225.00,14625.00,14794.00,000,0
^BVSP,D,20000425,000000,14798.00,15403.00,14798.00,15401.00,000,0
^BVSP,D,20000426,000000,15401.00,15517.00,15268.00,15446.00,000,0
^BVSP,D,20000427,000000,15446.00,15487.00,14835.00,15440.00,000,0
^BVSP,D,20000428,000000,15450.00,15907.00,15450.00,15538.00,000,0
^BVSP,D,20000502,000000,15596.00,15944.00,15523.00,15524.00,000,0
^BVSP,D,20000503,000000,15525.00,15525.00,14980.00,15109.00,000,0
^BVSP,D,20000504,000000,15111.00,15144.00,14873.00,14970.00,000,0
^BVSP,D,20000505,000000,14967.00,15218.00,14811.00,15218.00,000,0
^BVSP,D,20000508,000000,15220.00,15223.00,14867.00,14891.00,000,0
^BVSP,D,20000509,000000,14897.00,15041.00,14412.00,14582.00,000,0
^BVSP,D,20000510,000000,14570.00,14586.00,14238.00,14434.00,000,0
^BVSP,D,20000511,000000,14447.00,14723.00,14398.00,14499.00,000,0
^BVSP,D,20000512,000000,14496.00,14638.00,14350.00,14459.00,000,0
^BVSP,D,20000515,000000,14469.00,15070.00,14397.00,15056.00,000,0
^BVSP,D,20000516,000000,15074.00,15445.00,15074.00,15360.00,000,0
^BVSP,D,20000517,000000,15361.00,15361.00,14856.00,14871.00,000,0
^BVSP,D,20000518,000000,14876.00,14973.00,14620.00,14627.00,000,0
^BVSP,D,20000519,000000,14594.00,14619.00,13920.00,14327.00,000,0
^BVSP,D,20000522,000000,14330.00,14369.00,13583.00,13891.00,000,0
^BVSP,D,20000523,000000,13891.00,14145.00,13583.00,13587.00,000,0
^BVSP,D,20000524,000000,13592.00,14197.00,13556.00,14166.00,000,0
^BVSP,D,20000525,000000,14187.00,14499.00,14027.00,14186.00,000,0
^BVSP,D,20000526,000000,14204.00,14549.00,14172.00,14542.00,000,0
^BVSP,D,20000529,000000,14541.00,14858.00,14541.00,14773.00,000,0
^BVSP,D,20000530,000000,14815.00,15308.00,14815.00,15249.00,000,0
^BVSP,D,20000531,000000,15251.00,15328.00,14931.00,14957.00,000,0
^BVSP,D,20000601,000000,14967.00,15473.00,14967.00,15450.00,000,0
^BVSP,D,20000602,000000,15518.00,16261.00,15518.00,16222.00,000,0
^BVSP,D,20000605,000000,16222.00,16312.00,15975.00,16023.00,000,0
^BVSP,D,20000606,000000,16018.00,16173.00,15827.00,15947.00,000,0
^BVSP,D,20000607,000000,15955.00,16278.00,15709.00,16272.00,000,0
^BVSP,D,20000608,000000,16286.00,16640.00,16227.00,16399.00,000,0
^BVSP,D,20000609,000000,16421.00,16561.00,16200.00,16342.00,000,0
^BVSP,D,20000612,000000,16351.00,16365.00,16084.00,16097.00,000,0
^BVSP,D,20000613,000000,16100.00,16360.00,16075.00,16354.00,000,0
^BVSP,D,20000614,000000,16365.00,16523.00,16135.00,16366.00,000,0
^BVSP,D,20000615,000000,16369.00,16630.00,16325.00,16561.00,000,0
^BVSP,D,20000616,000000,16567.00,16598.00,16379.00,16425.00,000,0
^BVSP,D,20000619,000000,16423.00,16863.00,16411.00,16850.00,000,0
^BVSP,D,20000620,000000,16854.00,16952.00,16708.00,16844.00,000,0
^BVSP,D,20000621,000000,16854.00,17396.00,16834.00,17254.00,000,0
^BVSP,D,20000623,000000,16977.00,17266.00,16910.00,16977.00,000,0
^BVSP,D,20000626,000000,16977.00,17019.00,16685.00,16745.00,000,0
^BVSP,D,20000627,000000,16743.00,16780.00,16388.00,16512.00,000,0
^BVSP,D,20000628,000000,16532.00,17101.00,16493.00,16842.00,000,0
^BVSP,D,20000629,000000,16830.00,16850.00,16329.00,16407.00,000,0
^BVSP,D,20000630,000000,16404.00,16836.00,16400.00,16728.00,000,0
^BVSP,D,20000703,000000,16747.00,17099.00,16743.00,17089.00,000,0
^BVSP,D,20000704,000000,17106.00,17340.00,17088.00,17279.00,000,0
^BVSP,D,20000705,000000,17285.00,17362.00,17086.00,17135.00,000,0
^BVSP,D,20000706,000000,17148.00,17366.00,17024.00,17348.00,000,0
^BVSP,D,20000707,000000,17352.00,17754.00,17352.00,17599.00,000,0
^BVSP,D,20000710,000000,17620.00,17795.00,17444.00,17472.00,000,0
^BVSP,D,20000711,000000,17473.00,17473.00,16827.00,16881.00,000,0
^BVSP,D,20000712,000000,16893.00,17176.00,16693.00,17053.00,000,0
^BVSP,D,20000713,000000,17057.00,17383.00,16416.00,16444.00,000,0
^BVSP,D,20000714,000000,16439.00,16885.00,16390.00,16881.00,000,0
^BVSP,D,20000717,000000,16890.00,17395.00,16890.00,17388.00,000,0
^BVSP,D,20000718,000000,17379.00,17566.00,17281.00,17369.00,000,0
^BVSP,D,20000719,000000,17354.00,17358.00,16868.00,16928.00,000,0
^BVSP,D,20000720,000000,16951.00,17353.00,16951.00,17204.00,000,0
^BVSP,D,20000721,000000,17207.00,17365.00,17071.00,17318.00,000,0
^BVSP,D,20000724,000000,17314.00,17588.00,17314.00,17386.00,000,0
^BVSP,D,20000725,000000,17390.00,17530.00,17046.00,17049.00,000,0
^BVSP,D,20000726,000000,17049.00,17211.00,16840.00,17121.00,000,0
^BVSP,D,20000727,000000,17121.00,17225.00,16923.00,16949.00,000,0
^BVSP,D,20000728,000000,16949.00,17039.00,16448.00,16486.00,000,0
^BVSP,D,20000731,000000,16487.00,16713.00,16455.00,16455.00,000,0
^BVSP,D,20000801,000000,16475.00,16591.00,16127.00,16290.00,000,0
^BVSP,D,20000802,000000,16284.00,16535.00,16121.00,16314.00,000,0
^BVSP,D,20000803,000000,16248.00,16761.00,16073.00,16721.00,000,0
^BVSP,D,20000804,000000,16727.00,16907.00,16716.00,16761.00,000,0
^BVSP,D,20000807,000000,16772.00,17014.00,16769.00,16996.00,000,0
^BVSP,D,20000808,000000,17005.00,17062.00,16858.00,16885.00,000,0
^BVSP,D,20000809,000000,16894.00,16977.00,16511.00,16534.00,000,0
^BVSP,D,20000810,000000,16519.00,17023.00,16501.00,16835.00,000,0
^BVSP,D,20000811,000000,16846.00,17395.00,16705.00,17395.00,000,0
^BVSP,D,20000814,000000,17402.00,17926.00,17334.00,17811.00,000,0
^BVSP,D,20000815,000000,17811.00,17910.00,17690.00,17744.00,000,0
^BVSP,D,20000816,000000,17741.00,17771.00,17275.00,17331.00,000,0
^BVSP,D,20000817,000000,17326.00,17858.00,17321.00,17703.00,000,0
^BVSP,D,20000818,000000,17703.00,17780.00,17258.00,17314.00,000,0
^BVSP,D,20000821,000000,17317.00,17420.00,17066.00,17083.00,000,0
^BVSP,D,20000822,000000,17086.00,17428.00,17086.00,17224.00,000,0
^BVSP,D,20000823,000000,17253.00,17455.00,17137.00,17450.00,000,0
^BVSP,D,20000824,000000,17454.00,17454.00,17187.00,17311.00,000,0
^BVSP,D,20000825,000000,17316.00,17668.00,17316.00,17643.00,000,0
^BVSP,D,20000828,000000,17657.00,17686.00,17380.00,17460.00,000,0
^BVSP,D,20000829,000000,17454.00,17490.00,17235.00,17355.00,000,0
^BVSP,D,20000830,000000,17359.00,17563.00,17309.00,17414.00,000,0
^BVSP,D,20000831,000000,17417.00,17563.00,17327.00,17347.00,000,0
^BVSP,D,20000901,000000,17360.00,17577.00,17360.00,17577.00,000,0
^BVSP,D,20000904,000000,17577.00,17716.00,17569.00,17613.00,000,0
^BVSP,D,20000905,000000,17614.00,17639.00,17417.00,17425.00,000,0
^BVSP,D,20000906,000000,17442.00,17648.00,17442.00,17590.00,000,0
^BVSP,D,20000908,000000,17594.00,17692.00,17428.00,17433.00,000,0
^BVSP,D,20000911,000000,17443.00,17475.00,17236.00,17288.00,000,0
^BVSP,D,20000912,000000,17285.00,17304.00,16883.00,16883.00,000,0
^BVSP,D,20000913,000000,16888.00,17092.00,16877.00,16999.00,000,0
^BVSP,D,20000914,000000,17032.00,17108.00,16731.00,16769.00,000,0
^BVSP,D,20000915,000000,16771.00,16771.00,16515.00,16563.00,000,0
^BVSP,D,20000918,000000,16562.00,16609.00,15913.00,15913.00,000,0
^BVSP,D,20000919,000000,15923.00,16189.00,15824.00,16188.00,000,0
^BVSP,D,20000920,000000,16196.00,16216.00,15813.00,16078.00,000,0
^BVSP,D,20000921,000000,16065.00,16172.00,15946.00,16146.00,000,0
^BVSP,D,20000922,000000,16093.00,16426.00,15705.00,16353.00,000,0
^BVSP,D,20000925,000000,16361.00,16521.00,16318.00,16319.00,000,0
^BVSP,D,20000926,000000,16319.00,16468.00,16196.00,16255.00,000,0
^BVSP,D,20000927,000000,16289.00,16404.00,15745.00,15848.00,000,0
^BVSP,D,20000928,000000,15849.00,16041.00,15657.00,16014.00,000,0
^BVSP,D,20000929,000000,16020.00,16135.00,15821.00,15928.00,000,0
^BVSP,D,20001002,000000,15950.00,16090.00,15537.00,15559.00,000,0
^BVSP,D,20001003,000000,15562.00,15917.00,15562.00,15633.00,000,0
^BVSP,D,20001004,000000,15653.00,15883.00,15651.00,15876.00,000,0
^BVSP,D,20001005,000000,15876.00,16398.00,15876.00,16362.00,000,0
^BVSP,D,20001006,000000,16370.00,16404.00,15817.00,15946.00,000,0
^BVSP,D,20001009,000000,15946.00,15975.00,15617.00,15855.00,000,0
^BVSP,D,20001010,000000,15846.00,16008.00,15726.00,15747.00,000,0
^BVSP,D,20001011,000000,15738.00,15738.00,15463.00,15526.00,000,0
^BVSP,D,20001013,000000,15441.00,15441.00,15067.00,15385.00,000,0
^BVSP,D,20001016,000000,15387.00,15585.00,15214.00,15242.00,000,0
^BVSP,D,20001017,000000,15267.00,15386.00,14841.00,14870.00,000,0
^BVSP,D,20001018,000000,14837.00,14837.00,14218.00,14421.00,000,0
^BVSP,D,20001019,000000,14490.00,14869.00,14490.00,14845.00,000,0
^BVSP,D,20001020,000000,14846.00,14918.00,14490.00,14529.00,000,0
^BVSP,D,20001023,000000,14533.00,14535.00,13982.00,13990.00,000,0
^BVSP,D,20001024,000000,14014.00,14161.00,13672.00,13799.00,000,0
^BVSP,D,20001025,000000,13796.00,13927.00,13571.00,13665.00,000,0
^BVSP,D,20001026,000000,13705.00,14223.00,13679.00,14223.00,000,0
^BVSP,D,20001027,000000,14251.00,14700.00,14251.00,14692.00,000,0
^BVSP,D,20001030,000000,14707.00,14951.00,14489.00,14891.00,000,0
^BVSP,D,20001031,000000,14916.00,15099.00,14859.00,14867.00,000,0
^BVSP,D,20001101,000000,14858.00,14859.00,14571.00,14791.00,000,0
^BVSP,D,20001103,000000,14785.00,14925.00,14425.00,14534.00,000,0
^BVSP,D,20001106,000000,14534.00,14868.00,14478.00,14801.00,000,0
^BVSP,D,20001107,000000,14780.00,15029.00,14543.00,14969.00,000,0
^BVSP,D,20001108,000000,14982.00,15191.00,14650.00,14656.00,000,0
^BVSP,D,20001109,000000,14667.00,14782.00,14409.00,14524.00,000,0
^BVSP,D,20001110,000000,14542.00,14701.00,14449.00,14626.00,000,0
^BVSP,D,20001113,000000,14606.00,14609.00,14199.00,14372.00,000,0
^BVSP,D,20001114,000000,14395.00,14632.00,14395.00,14540.00,000,0
^BVSP,D,20001116,000000,14546.00,14575.00,14419.00,14490.00,000,0
^BVSP,D,20001117,000000,14479.00,14570.00,14091.00,14323.00,000,0
^BVSP,D,20001120,000000,14323.00,14535.00,14103.00,14500.00,000,0
^BVSP,D,20001121,000000,14497.00,14845.00,14487.00,14784.00,000,0
^BVSP,D,20001122,000000,14766.00,14766.00,14555.00,14577.00,000,0
^BVSP,D,20001123,000000,14579.00,14604.00,14187.00,14314.00,000,0
^BVSP,D,20001124,000000,14316.00,14413.00,12969.00,14336.00,000,0
^BVSP,D,20001127,000000,14340.00,14495.00,13941.00,14008.00,000,0
^BVSP,D,20001128,000000,14011.00,14011.00,13756.00,13914.00,000,0
^BVSP,D,20001129,000000,13921.00,14074.00,13782.00,13788.00,000,0
^BVSP,D,20001130,000000,13779.00,13779.00,13287.00,13287.00,000,0
^BVSP,D,20001201,000000,13303.00,13578.00,13282.00,13437.00,000,0
^BVSP,D,20001204,000000,13396.00,13538.00,13242.00,13510.00,000,0
^BVSP,D,20001205,000000,13513.00,14188.00,13513.00,14182.00,000,0
^BVSP,D,20001206,000000,14180.00,14277.00,13945.00,13945.00,000,0
^BVSP,D,20001207,000000,13947.00,14460.00,13918.00,14460.00,000,0
^BVSP,D,20001208,000000,14462.00,15062.00,14461.00,14983.00,000,0
^BVSP,D,20001211,000000,14991.00,15355.00,14991.00,15188.00,000,0
^BVSP,D,20001212,000000,15186.00,15186.00,14869.00,14906.00,000,0
^BVSP,D,20001213,000000,14916.00,15389.00,14900.00,15291.00,000,0
^BVSP,D,20001214,000000,15261.00,15329.00,15080.00,15259.00,000,0
^BVSP,D,20001215,000000,15253.00,15253.00,14833.00,14988.00,000,0
^BVSP,D,20001218,000000,15002.00,15282.00,14093.00,15083.00,000,0
^BVSP,D,20001219,000000,15085.00,15415.00,15085.00,15336.00,000,0
^BVSP,D,20001220,000000,15306.00,15328.00,14618.00,14622.00,000,0
^BVSP,D,20001221,000000,14727.00,14958.00,14461.00,14505.00,000,0
^BVSP,D,20001222,000000,14533.00,14802.00,14532.00,14652.00,000,0
^BVSP,D,20001226,000000,14663.00,14851.00,14659.00,14795.00,000,0
^BVSP,D,20001227,000000,14805.00,15223.00,14805.00,15186.00,000,0
^BVSP,D,20001228,000000,15188.00,15269.00,15132.00,15259.00,000,0